RR,wins,losses,win_rate,net_R,skipped,positive_months,months,final_balance,month_end_max_drawdown_pct,worst_single_month_drawdown_pct,max_sl_pips,avg_sl_pips
1:1,4678,4619,50.31730665806174,59,668,30,54,2266.6287702278905,45.39923303605012,38.66175294132954,149.71940996185367,36.19382597709811
1:2,2721,5262,34.08493047726419,180,699,28,54,5426.144214706716,57.15774518548814,43.59736300537629,149.8538596353501,28.850665794657168
1:3,1626,4780,25.382453949422416,98,550,28,54,2044.502013325831,74.72143476858629,40.35422530451991,149.79272128683078,32.21531023538066
